dummy,Announced_Date,Target_Company,Target_Description,Target_City,Target_Website,Target_Sector,Target_Country,Bidder_Company,Bidder_Description,Bidder_Website,Bidder_Sector,Bidder_Country,Seller_Company,Seller_Description,Seller_Website,Seller_Sector,Seller_Country,Implied_Equity_Value_(m),Net_Debt_(m),Enterprise_Value_(m),Reported_Revenue_(m)_Y1,Reported_EBITDA_(m)_Y1,Reported_EBIT_(m)_Y1,Reported_Earnings_(m)_Y1,Reported_Revenue_Multiple_Y1,Reported_EBIT_Multiple_Y1,Reported_EBITDA_Multiple_Y1,Reported_PE_Multiple_Y1,Consideration,Deal_Description,Deal_Value_USD(m)
,26/12/23,Nihondo Co Ltd (100% Stake),Kampo medicine pharmacy network operator.,Tokyo,https://www.nihondo.co.jp/company/,Consumer: Retail,Japan,Sugi Holdings Co Ltd,"Operator of pharmacies chain, retailing pharmaceutical and healthcare products.",http://www.drug-sugi.co.jp/hd/,Consumer: Retail,Japan,,,,,,,,,,,,,,,,,,"Sugi Holdings Co Ltd, the Japan based operator of pharmacies chain, retailing pharmaceutical and healthcare products, announced it will acquire all shares in Nihondo Co Ltd, the local kampo medicine pharmacy network operator, on Dec 27, 2023. The terms of the deal were undisclosed.",
,26/12/23,Gracell Biotechnologies Inc (100% Stake),Research and development company of immune cell gene therapies.,Suzhou,https://www.gracellbio.com/cn/,Biotechnology,China,AstraZeneca plc,"Pharmaceutical company specialising in the discovery, development, manufacturing and marketing of prescription medicines.",http://www.astrazeneca.com,"Medical: Pharmaceuticals,Services (other)",United Kingdom,,,,,,1188.8728,-214.031,974.8418,,,,,,,,,"Cash (USD 1033.8024), Other (USD 155.0704)","AstraZeneca plc, the United Kingdom-based pharmaceutical company specializing in the discovery, development, manufacturing, and marketing of prescription medicines is to acquire Gracell Biotechnologies Inc, the China-based research and development company of immune cell gene therapies. The consideration was $1.1888bn, which consists of $1.0338bn paid in cash, and $155.07m paid in earnout. The transaction is expected to close in the first quarter of 2024, subject to customary closing conditions, including regulatory clearances and Gracell shareholder approval.",1188.8728
,26/12/23,FA Products Inc (Smart energy business.) (80% Stake),Smart energy business.,,,Energy,Japan,"Nitto Kogyo Corporation; Tokura Corporation; Sansha Electric Manufacturing Co., Ltd.",Listed Japan-based company engaged in manufacturing of switchboards and electrical equipment; Listed Japan-based company engaged in engineering and construction business; Listed Japan-based company engaged in manufacturing and selling electric machinery and equipment,http://www.nito.co.jp; http://www.tokura.co.jp/; http://www.sansha.co.jp/official/englishsite/,"Industrial: Electronics,Industrial products and services; Construction; Energy,Industrial automation,Industrial products and services",Japan,FA Products Inc,"Software-Computer, Traditional & Other. Software company engaged with developing factory automation system.",https://fa-products.jp/,Computer software,Japan,,,,,,,,,,,,,"FA Products Inc, the Japan developing factory automation system, will transfer 80% of the smart energy business to NItto Kogyo Co Ltd, Sansha Electric Manufacturing Co Ltd and Tokura Construction Co Ltd on Mar 1, 2024. The terms of the deal were undisclosed.",
,26/12/23,Nexta Co Ltd,"Software-Computer, Traditional & Other. Software company engaged with developing DX crowd system for manufacturing industry.",Osaka,https://smartf-nexta.com/,Computer software,Japan,JAFCO Group Co Ltd; Globis Corp; XTech Ventures Co Ltd,"Private Equity Firm.; Provider of MBA programs, corporate training programs, e-learning, as well as operating a venture capital fund.; Japan-based venture capital company.",http://www.jafco.co.jp; http://www.globis.co.jp/; http://xtech-ventures.co.jp/,"Financial Services; Financial Services,Services (other); Financial Services",Japan,,,,,,,,,,,,,,,,,Cash (USD 2.9400),"Nexta Co Ltd, the Japan based developing DX crowd system for manufacturing industry announced it has secured Y420m ($2.95m) in a series A round financing led by JAFCO Group Co Ltd, XTech Ventures Co Ltd and Globis Corp.",2.94
,26/12/23,Caliper Human Strategies Japan Ltd (100% Stake),Huma resource consulting service provider.,,https://www.caliper.co.jp/,Services (other),Japan,"CELM, Inc.","Japan-based company corporate in-house training, human resources development and organizational development consulting business",,Services (other),Japan,,,,,,,,,2.0216,,0.4104,0.2812,,,,,,"CELM Inc, the Japan based provider of business learning course and management consulting service, announced it will acquire all shares in Caliper Human Strategies Japan Ltd, the local huma resource consulting service provider., on Jan, 2024. The terms of the deal were undisclosed.",
,26/12/23,GCJG19 Co Ltd (100% Stake),"Software-Computer, Traditional & Other. Holding company for software company engaged with developing control of power system.",,,Computer software,Japan,Kanaden Corporation,"listed Japanese wholesaler of industrial electronic equipment and devices,",,"Industrial: Electronics,Industrial products and services,Services (other)",Japan,Growth Capital of Japan Inc,Investment company.,http://www.gcjinc.jp/,Financial Services,Japan,9.1,,9.1,,,,,,,,,Cash (USD 9.1000),"Kanaden Corp, the Japan based manufactures and sells electrical machinery, electronic machinery, communications machinery, and related parts and materials, announced it will acquire all shares in GCJG19 Co Ltd, the local holding company for software company engaged with developing control of power system, from Growth Capital of Japan Inc, the local investment company, for Y1.3bn ($9.13m) on Dec 27, 2023.",9.1
,26/12/23,Ichi Commons Co Ltd,"Software-Computer, Traditional & Other. Software company engaged with developing matching platform system of partnering to solve social issues.",Tokyo,https://www.ichicommons.com/,Computer software,Japan,Seino Transportation Co Ltd; HERO Co Ltd,"Japanese truck-based delivery service provider, and a unit of Seino Holdings; Venture capital firm.",http://www.seino.co.jp/; https://hero.vc/,Transportation; Financial Services,Japan,,,,,,,,,,,,,,,,,Cash (USD 0.2450),"Ichi Commons Co Ltd, the Japan based developing matching platform system of partnering to solve social issues, announced it has intended to place some newly issued shares on HERO Co Ltd, Seino Transportation Co Ltd and some undisclosed venture capitals and private individuals, for Y35m ($0.25m).",0.245
,25/12/23,Beijing Kunpeng Hengtong Natural Gas Co Ltd (100% Stake),Company mainly engaged in gas supply.,Beijing,,Utilities (other),China,Beijing Liandong Jintai Technology Co Ltd,"Beijing, China-based technology development",,Services (other),China,Beijing Xiji Chuangyi Investment Development Co Ltd,State-controlled investment company.,,Financial Services,China,6.1532,,6.1532,,,,,,,,,Cash (USD 6.1532),"Beijing Liandong Jintai Technology Co Ltd, the China based corporate management company has acquired Beijing Kunpeng Hengtong Natural Gas Co Ltd, the local company mainly engaged in gas supply from Beijing Xiji Chuangyi Investment Development Co Ltd, the local state-controlled investment company. The consideration was RMB 43.92m ($6.1m).",6.1532
,25/12/23,Guangdong Wanfu Songshanhu Industry Co Ltd (30% Stake),Industry park operator.,,,Real Estate,China,"Guangzhou Wondfo Biotech Co., Ltd.","China-based SZSE-listed company headquartered in Guangzhou, Guangdong Province, is engaged in research, manufacture and sales of point-of-care testing (POCT) reagents, POCT instrument and related products",http://www.wondfo.com.cn/,Medical: Pharmaceuticals,China,Guangzhou Zhongmei Enterprise Management Co Ltd,Management consulting company.,,Services (other),China,57.5242,,57.5242,,,,,,,,,Cash (USD 17.2573),"Guangzhou Wondfo Biotech Co Ltd, the China based electromedical analytical instruments manufacturer, has acquired 30% of Guangdong Wanfu Songshanhu Industry Co Ltd, the local industry park operator, from Guangzhou Zhongmei Enterprise Management Co Ltd, the local management consulting company. The consideration was RMB123.18m ($17.27m).",17.2573
,25/12/23,"Hangzhou Jizhi Mechatronics Co., Ltd.  (8.16% Stake)","China-based SZSE-listed company headquartered in Hangzhou, Zhejiang is engaged in
 manufactures and wholesales automotive balancing machines",Hangzhou,http://www.zjjizhi.com/,Industrial products and services,China,Yang Zhao (Private Individual); Lei Zhao (Private Individual),Private individual.; Private individual.,,Financial Services; Financial Services,China,Lou Rongwei (Private Individual),Private individual.,,Financial Services,China,397.04,,397.04,,,,,,,,,Cash (USD 32.3985),"China based private individuals Yang Zhao and Lei Zhao are to acquire 8.16% of Hangzhou Jizhi Mechatronic Co Ltd, the local manufacturer of balancing machinery from a local private individual Lou Rongwei. The consideration was RMB231.25m ($32.41m), based on 8,122,668 Hangzhou Jizhi Mechatronic shares valued at RMB28.47 per share.",32.3985
,25/12/23,Ningbo AT&M Environmental Chemical Engineering Design Co Ltd (99.98% Stake),China-based engineering service provider.,Ningbo,,Services (other),China,Ningbo Shanyoulan Technology Co Ltd,Company engaged in software development and technological consultation.,,Computer software,China,AT&M Environmental Engineering Technology Co Ltd,"Manufacturer of metallic materials, which include functional materials and refractory metal ceramics.",http://www.atmenv.com/,Industrial products and services,China,13.9437,,13.9437,16.8736,,0.2999,0.3492,0.8547,48.0806,,41.2975,Cash (USD 13.9409),"Ningbo Shanyoulan Technology Co Ltd, the China based company engaged in software development and technological consultation has acquired 99.98% of Ningbo AT&M Environmental Chemical Engineering Design Co Ltd, the local engineering service provider from AT&M Environmental Engineering Technology Co Ltd, the local manufacturer of metallic materials, which include functional materials and refractory metal ceramics. The consideration was RMB 99.51m ($13.9m).",13.9409
,25/12/23,TKT Vietnam Plastic Packaging JSC (90% Stake),Manufacturer of plastic packaging products.,,http://tktplastic.com.vn/,Manufacturing (other),Vietnam,"Dynapac Co., Ltd.",Listed Japan-based manufacturer of paperboard boxes and other packaging materials,http://www.dynapac-gr.co.jp/,Manufacturing (other),Japan,,,,,,,,,,,,,,,,,,"Dynapac Co Ltd, the Japan based manufacturer of packaging materials, announced it will acquire 90% stake, or 4,500,000 shares in TKT Vietnam Plastic Packaging JSC, the Vietnam based manufacturer of plastic packaging products, on the end of Jan, 2024. The terms of the deal were undisclosed.",
,25/12/23,Jiangsu Shenqian Packaging Co Ltd (70% Stake),Company mainly engaged in production of plastic packaging tools.,,,Industrial products and services,China,Undisclosed Acquirer,Undisclosed Acquirer.,,,China,Wuxi Guorui Urban-Rural Investment Development Center (LP),Investment company.,,Financial Services,China,31.8534,,31.8534,,,,,,,,,Cash (USD 22.2974),"A China based undisclosed acquirer has acquired 70% of Jiangsu Shenqian Packaging Co Ltd, the local company mainly engaged in production of plastic packaging tools, from Wuxi Guorui Urban-Rural Investment Development Center (LP), the local investment company. The consideration was RMB158.7m ($22.24m).",22.2974
,25/12/23,Luzhou Automotive Testing Center Co Ltd (100% Stake),Company engaged in providing testing services for automotive vehicles.,,,Services (other),China,Luzhou Development Asset Operation Management Co Ltd,Company engaged in asset management.,,Services (other),China,Luzhou Development Management Consultation Group Co Ltd,Company engaged in providing consultation services.,,Services (other),China,6.647,,6.647,,,,,,,,,Cash (USD 6.6470),"Luzhou Development Asset Operation Management Co Ltd, the China based company engaged in asset management, has acquired Luzhou Automotive Testing Center Co Ltd, the local company engaged in providing testing services for automotive vehicles, from Luzhou Development Management Consultation Group Co Ltd, the local company engaged in providing consultation services. The consideration was RMB47.31m ($6.63m).",6.647
,25/12/23,Dai-ichi Premier Securities Co Ltd (100% Stake),Securities brokerage firm.,Tokyo,https://www.dai-ichi-premiere-sec.co.jp/,Financial Services,Japan,TRISTARS Consulting Co Ltd,Management consulting service provider.,https://tristars-consulting.com/,Services (other),Japan,"Daiichi Commodities Co., Ltd.",Japan-based company engaged in commodity futures trading and in-store sales of precious metals,https://www.dai-ichi.co.jp/company/overview.asp,"Consumer: Retail,Financial Services",Japan,3.493,,3.493,,,,,,,,,Cash (USD 3.4930),"Daiichi Commodities Co Ltd, the Japan based securities brokerage firm, announced it will transfer all shares in Dai-ichi Premier Securities Co Ltd, the local securities brokerage firm, to TRISTARS Consulting Co Ltd, the local management consulting service provider, for Y499m ($3.50m) on Dec 26, 2023.",3.493
,25/12/23,BrainBees Solutions Pvt Ltd,Software-E-Commerce company engaged with online retailing of baby clothes and supplies.,Pune,http://www.firstcry.com,Computer software,India,Undisclosed Acquirer,Undisclosed Acquirer.,,,India,SoftBank Group Corp,"Investment holding company focused on mobile telecommunication services, fixed-line telecommunication, broadband service provider and manufacturer of microprocessors.",http://www.softbank.jp,"Computer: Semiconductors,Financial Services,Media,Other,Telecommunications: Carriers",Japan,,,,,,,,,,,,Cash (USD 75.6000),"Undisclosed Acquirer, the India based undisclosed Acquirer has acquired an undisclosed stake in BrainBees Solutions Pvt Ltd, the local software-E-Commerce company engaged with online retailing of baby clothes and supplies from SoftBank Group Corp, the Japan based investment holding company focused on mobile telecommunication services, fixed-line telecommunication, broadband service provider and manufacturer of microprocessors. The consideration was 6.3bn INR.",75.6
,25/12/23,Sichuan Tongguang Optical Fiber Co Ltd (100% Stake),Manufacturer of photoelectric components.,,,Industrial: Electronics,China,Jiangsu Tongguang Electronic Wire & Cable Co Ltd,"Manufacturer of fiber optic cables, power transmission cables, and other special cables.",http://www.tgjt.cn,"Industrial: Electronics,Telecommunications: Hardware",China,"Tongguang Group Co., Ltd.",China based conglomerate,http://www.chinatgg.com.cn,Other,China,30.7695,,30.7695,40.1949,,6.3544,5.3734,,,,,Cash (USD 30.7695),"Jiangsu Tongguang Electronic Wire & Cable Co Ltd, the China based manufacturer of fiber optic cables, power transmission cables, and other special cables, is to acquire Sichuan Tongguang Optical Fiber Co Ltd, the local manufacturer of photoelectric components from Tongguang Group Co Ltd, the local holding company with subsidiaries engaged with manufacturing electronic wires and cables. The consideration was RMB219m ($30.7m).",30.7695
,25/12/23,Sichuan Shield Technology Co Ltd (34% Stake),"Gas detection and alarm equipment, industrial instruments, valves manufacturer.",Chengdu,,Telecommunications: Hardware,China,Cubic Sensor and Instrument Co Ltd,"A China-based privately held electronic instrument maker in Wuhan, Hubei",,Industrial: Electronics,China,,,,,,20.6618,,20.6618,29.7867,,,2.0529,,,,,Cash (USD 7.0250),"Cubic Sensor & Instrument Co Ltd, the China based manufacturer of gas sensors and gas analysis instruments, has acquired 34% of Sichuan Shield Technology Co Ltd, the local gas detection and alarm equipment, industrial instruments, valves manufacturer. The consideration was RMB50m ($7.01m).",7.025
,25/12/23,JCI Custom & Mobility Co Ltd,Welfare equipment manufacturer for automobiles.,,https://jci-cam.co.jp/,Automotive,Japan,77 Capital Co Ltd,Japan based venture capital firm.,,Financial Services,Japan,,,,,,,,,,,,,,,,,Cash (USD 0.4200),"77 Capital Co Ltd, the Japan based venture capital firm, has acquired some newly issued shares in JCI Custom & Mobility Co Ltd, the local welfare equipment manufacturer for automobiles, for Y60m ($0.42m) on Dec 19, 2023.",0.42
,25/12/23,Phoenix Engineering Co Ltd (66% Stake),Industrial machine manufacturer.,,https://www.phoenix-engineering.co.jp/,Industrial products and services,Japan,PHT Inc,Semiconductor transport system business.,https://www.pht.co.jp/,Computer: Semiconductors,Japan,,,,,,,,,,,,,,,,,,"PHT Inc, the Japan based semiconductor transport system business, announced it will acquire the remaining 66% stake in Phoenix Engineering Co Ltd, the local industrial machine manufacturer, on Jan 10, 2024. The terms of the deal were undisclosed.",
,25/12/23,Nihon Agri Inc,Wholesaler of fresh fruits and vegetables. .,Tokyo,https://nihon-agri.com/,Services (other),Japan,Gunma Regional Advanced Solution Partners Inc,Investment fund operator.,https://www.g-rasp.co.jp/,Financial Services,Japan,,,,,,,,,,,,,,,,,,"Gunma Regional Advanced Solution Partners Inc, the Japan based investment fund operator, has acquired some newly issued shares in Nihon Agri Inc, the local wholesaler of fresh fruits and vegetables. The terms of the deal were undisclosed.",
,25/12/23,Kita-Sanriku Factory Co Ltd,Sea urchin farm operator.,,https://kitasanrikufactory.co.jp/,Agriculture,Japan,Oisix Ra Daichi Inc,Provider of fresh fruits and vegetables direct selling service.,http://www.oisixradaichi.co.jp,"Internet / ecommerce,Services (other)",Japan,,,,,,,,,,,,,,,,,,"Oisix Ra Daichi Inc, the Japan based provider of fresh fruits and vegetables direct selling service, announced it has acquired some newly issued shares in Kita-Sanriku Factory Co Ltd, the local sea urchin farm operator. The terms of the deal were undisclosed.",
,25/12/23,GO Inc (Tokyo),Software-E-Commerce company engaged with providing taxi-hailing application.,"Minato-Ku, Tokyo",https://goinc.jp/,Computer software,Japan,"FIL Ltd; Ryobi Holdings, Inc.; Goldman Sachs Group Inc; FreakOut Holdings, inc.","Investment fund manager company.; Japan based company engaged in providing hired vehicles, taxi, and bus services; Global investment banking and securities firm. Specializes in investment banking, trading and principal investments, asset management and securities services.; Listed Japan-based holding company engaged in strategy development and management of subsidiaries in advertising and data-related industries",http://www.fidelity.co.uk; http://www.ryobi-holdings.jp; http://www.goldmansachs.com; https://www.fout.co.jp/,Financial Services; Transportation; Financial Services; Financial Services,USA,,,,,,,,,,,,,,,,,,"GO Inc (Tokyo), the Japan based providing taxi-hailing application, announced it has secured in a series D extension round by Goldman Sachs Grup Inc, FIL Ltd, Ryobi Holdings Co Ltd and FreakOut Holdings Inc. The terms of the deal were undisclosed.",
,25/12/23,"Life Lab Co Ltd (Job matching business for agriculture, forestry and fisheries industry.) (100% Stake)","Job matching business for agriculture, forestry and fisheries industry.",,,Services (other),Japan,"Synchro Food Co., Ltd.",Listed Japan-based company engaged in the provision of matching services to restaurant owners,http://www.synchro-food.co.jp/en,Internet / ecommerce,Japan,Life Lab Co Ltd,Job ads management service provider and recruitment service provider.,https://www.life-lab.co.jp/,Services (other),Japan,,,,,,,,,,,,,"Synchro Food Co Ltd, the Japan based provider of support activities for restaurants owners via Internet, such as providing information of properties or food suppliers, announced it will acquire the job matching business for agriculture, forestry and fisheries industry from Life Lab Co Ltd, the local job ads management service provider and recruitment service provider, on Jan 31, 2024. The terms of the deal were undisclosed.",
,25/12/23,"Gumi, Inc (7.58% Stake)",Listed Japan-based company engaged in development and operation mobile online games,Tokyo,http://gu3.co.jp/,Computer software,Japan,SBI Holdings Inc (Japan),"Holding company engaged in asset management, financial service, biotechnology, healthcare and medical informatics business.",http://www.sbigroup.co.jp,"Biotechnology,Financial Services,Other",Japan,,,,,,101.8907,,101.8907,89.4244,-9.0294,-12.8556,-6.1386,1.0743,,,,Cash (USD 7.7280),"SBI Holdings Inc (Japan), the Japan based holding company engaged in asset management, financial service, biotechnology, healthcare and medical informatics business, announced it will acquire 7.58% stake, or 3,000,000 shares in Gumi Inc, the local developing mobile games, between Dec 26, 2023 and Mar 29, 2024. Based on the closing share price of Y368 on 22 Dec 2023, the shares have a market value of Y1.10bn ($7.75m).",7.728
,25/12/23,Seafort Square Center Building (100% Stake); Round-Cross Shiba Daimon (100% Stake),Office building in Tokyo.; Office building in Tokyo.,"Shinagawa, Tokyo",,Real Estate,Japan,Undisclosed Acquirer,Undisclosed Acquirer.,,,Japan,ORIX JREIT Inc.,Listed Japan-based real estate investment trust,http://www.orixjreit.com/english/,Real Estate,Japan,124.6,,124.6,,,,,,,,,Cash (USD 124.6000),"Orix JREIT Inc, the Japan based real estate investment trust (J-REIT), announced it will transfer the trust beneficiary rights of two office buildings - Seafort Square Center Building and Round-Cross Shiba Daimon to an undisclosed acquiror for Y17.8bn ($124.95m) on Feb 29, 2024.",124.6
,25/12/23,New Space Intelligence Inc,Provider of infrastructure monitoring and other services using satellite data.,,https://www.newspaceint.com/,Services (other),Japan,Mitsubishi Research Institute Inc,Research and business consulting company.,http://www.mri.co.jp/,"Computer services,Services (other)",Japan,,,,,,,,,,,,,,,,,,"Mitsubishi Research Institute Inc, the Japan based research and business consulting company, announced it has acquired some newly issued shares in New Space Intelligence Inc, the local provider of infrastructure monitoring and other services using satellite data. The terms of the deal were undisclosed.",
,25/12/23,Terra Drone Corp,"Software-Apps. Software company engaged with operating drone service.
.",Tokyo,http://www.terra-drone.net,Computer software,Japan,Tokyo Century Corp,"Leasing company focused on the equipment leasing, car rental and specialty financing services.",http://www.ctl.co.jp/,Financial Services,Japan,,,,,,,,,,,,,,,,,,"Tokyo Century Corp, the Japan based leasing company focused on the equipment leasing, car rental and specialty financing services, has acquired some newly issued shares in Terra Drone Corp, the local operating drone service. The terms of the deal were undisclosed.",
,25/12/23,Nihon Agri Inc,Wholesaler of fresh fruits and vegetables. .,Tokyo,https://nihon-agri.com/,Services (other),Japan,Yamatane Corp,"Holding company with interests in the logistics business including warehousing, harbor transportation and freight forwarding, rice wholesale, property management, development and operation of computer systems.",http://www.yamatane.co.jp/,"Computer software,Real Estate,Services (other),Transportation",Japan,,,,,,,,,,,,,,,,,,"Yamatane Corp, the Japan based holding company with interests in the logistics business, announced it has acquired some newly issued shares in Nihon Agri Inc, the local wholesaler of fresh fruits and vegetables. The terms of the deal were undisclosed.",
